date, pm25, pm10
2023/7/30, 82, 55
2023/7/31, 86, 29
2023/8/1, 58, 35
2023/8/2, 61, 35
2023/8/3, 70, 45
2023/8/4, 71, 36
2023/8/5, 71, 35
2023/8/6, 86, 32
2023/8/7, 75, 29
2023/8/8, 72, 43
2023/8/9, 90, 40
2023/8/10, 71, 48
2023/8/11, 94, 25
2023/8/12, 68, 48
2023/8/13, 100, 
2023/8/21, 74, 28
2023/8/22, 66, 26
2023/8/23, 69, 23
2023/8/24, 64, 19
2023/8/25, 52, 22
2023/8/26, 52, 46
2023/8/27, 77, 66
2023/8/28, 100, 63
2023/8/29, 105, 65
2023/8/30, 114, 60
2023/8/31, 104, 61
2023/9/1, 110, 64
2023/9/2, 117, 52
2023/9/3, 90, 29
2023/9/4, 70, 54
2023/9/5, 95, 61
2023/9/6, 97, 37
2023/9/7, 70, 43
2023/9/8, 94, 34
2023/9/9, 65, 22
2023/9/10, 59, 
2023/9/12, 75, 
2023/9/17, 36, 
2023/9/18, 31, 
2023/9/19, 46, 
2023/9/20, 35, 
2023/9/21, 28, 
2023/9/22, 25, 
2023/9/23, 34, 
2023/9/24, 24, 
2023/9/25, 29, 
2023/9/26, 46, 
2023/4/11, 223, 111
2023/4/12, 192, 114
2023/4/13, 189, 99
2023/4/14, 177, 113
2023/4/15, 196, 109
2023/4/16, 186, 101
2023/4/17, 177, 112
2023/4/18, 181, 135
2023/4/19, 179, 122
2023/4/20, 176, 132
2023/4/21, 152, 80
2023/4/22, 147, 83
2023/4/23, 155, 52
2023/4/24, 135, 65
2023/4/25, 138, 69
2023/4/26, 147, 89
2023/4/27, 168, 89
2023/4/28, 168, 68
2023/4/29, 153, 64
2023/4/30, 157, 41
2023/5/1, 109, 51
2023/5/2, 125, 43
2023/5/3, 110, 40
2023/5/4, 107, 45
2023/5/5, 99, 48
2023/5/6, 106, 61
2023/5/7, 121, 66
2023/5/8, 135, 75
2023/5/9, 135, 86
2023/5/10, 142, 77
2023/5/11, 143, 82
2023/5/12, 160, 77
2023/5/13, 161, 104
2023/5/14, 145, 50
2023/5/15, 114, 54
2023/5/16, 123, 52
2023/5/17, 130, 49
2023/5/18, 122, 48
2023/5/19, 112, 45
2023/5/20, 97, 53
2023/5/21, 118, 61
2023/5/22, 151, 56
2023/5/23, 140, 43
2023/5/24, 101, 34
2023/5/25, 83, 32
2023/5/26, 74, 29
2023/5/27, 70, 40
2023/5/28, 96, 47
2023/5/29, 108, 48
2023/5/30, 113, 52
2023/5/31, 115, 57
2023/6/1, 124, 61
2023/6/2, 123, 62
2023/6/3, 117, 58
2023/6/4, 118, 59
2023/6/5, 127, 54
2023/6/6, 116, 72
2023/6/7, 132, 56
2023/6/8, 121, 61
2023/6/9, 126, 69
2023/6/10, 128, 53
2023/6/11, 121, 44
2023/6/12, 105, 36
2023/6/13, 89, 24
2023/6/14, 73, 
2023/6/22, 87, 
2023/6/26, 78, 
2023/6/27, 33, 
2023/6/28, 29, 
2023/6/29, 20, 
2023/6/30, 28, 
2023/2/13, 136, 67
2023/2/14, 137, 83
2023/2/15, 132, 65
2023/2/16, 126, 98
2023/2/17, 135, 75
2023/2/18, 136, 65
2023/2/19, 117, 42
2023/2/20, 85, 44
2023/2/21, 80, 36
2023/2/22, 67, 35
2023/2/23, 67, 76
2023/2/24, 88, 71
2023/2/25, 98, 84
2023/2/26, 69, 17
2023/2/27, 25, 26
2023/2/28, 53, 20
2023/3/1, 52, 79
2023/3/2, 166, 83
2023/3/3, 171, 87
2023/3/4, 175, 79
2023/3/5, 162, 74
2023/3/6, 164, 78
2023/3/7, 157, 84
2023/3/8, 175, 76
2023/3/9, 158, 76
2023/3/10, 152, 75
2023/3/11, 158, 80
2023/3/12, 167, 89
2023/3/13, 178, 99
2023/3/14, 158, 
2025/4/19, , 53
2025/1/12, , 89
2024/8/11, , 24
2024/4/17, , 121
2024/6/10, , 365
2024/6/13, , 61
2024/6/15, , 88
2024/3/9, , 101
2023/10/2, , 13
2023/12/23, , 92
2023/7/29, , 35
2023/8/20, , 27
2023/9/11, , 27
2023/4/10, , 126
2023/6/21, , 42
2023/6/25, , 30
2023/2/12, , 74
